AST Structure,Fitness Score,Total PnL,Avg Trade,Avg Win,Avg Loss,Largest Win,Largest Loss,Std Win,Std Loss,Max DD,PnL/DD,Max Cons Loss,Sharpe,Sortino,Profit Factor,CPC Index,Corr Coef,Exposure (%),Complexity,Direction,Stop Type,Take Profit,MAP-X,MAP-Y,Fitness Function,In-Sample Pct
"((((Close - High) + Open) > Low AND ((Close - Open) / (High - Low)) > (High / (Open + Close))) AND Open crosses below Close)",55.7282,11162.60,3.0964,7.8636,2.9044,144.4458,-37.7717,10.6904,2.9777,112.2847,99.4133,10,0.3157,1.1188,3.4081,5.1423,0.9854,5.1,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((LinRegSlope((High + Open), 200) > ((EMA(Low, 21) - EMA(Low, 42)) / SMA(Open, 7)) AND ((High - Close) / Close) > LinRegSlope((Low - High), 7)) AND ((Close - Open) / (High - Low)) > (High / (Open + Close)))",59.8590,15441.65,3.1101,6.7657,2.3413,204.7724,-27.3524,10.9392,2.5525,99.4951,155.2002,14,0.3205,1.4172,4.3093,7.4542,0.9831,7.1,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"((LinRegSlope((Open + Close), 14) < ((Low - High) / Low) AND Close > (Open + StdDev(Close, 14))) AND ((EMA(Close, 50) - EMA(Close, 100)) + High) > Open)",63.7285,11688.48,3.9475,7.5659,2.4100,204.7724,-27.9452,12.2674,2.5936,52.7774,221.4675,8,0.3583,1.8513,5.5159,11.0356,0.9814,4.2,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))) AND (Open + StdDev(Low, 21)) < Close)",67.1157,21060.61,4.2990,7.4928,2.2195,204.7724,-37.0825,11.1233,2.6508,64.0863,328.6286,9,0.4172,2.1684,6.8901,15.6115,0.9809,7.0,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((High - Open) crosses below (Open - Low) AND Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100))))) AND 1 > LinRegSlope(Open, 14))",35.7801,-817.82,-0.1423,5.4096,3.2354,108.9458,-65.9082,7.9230,3.3154,1354.4596,-0.6038,23,-0.0208,-0.0383,0.9315,0.5573,-0.8831,8.2,3,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((LinRegSlope((Open * 4.9), 200) < ((Low + Low) / (High * 1.7)) AND ((Open - Low) * 0.3) < ((High - Min(High, 100)) / (Max(High, 100) - Min(High, 100)))) AND (Low / Open) < 1) AND High < SMA(Close, 50))",39.3682,3355.46,0.5824,5.6388,2.7006,50.9484,-27.2085,7.1880,2.3799,424.7926,7.8991,40,0.0917,0.2078,1.3557,1.1144,0.9655,8.2,4,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((Close > (Open - ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100)))) AND 1 < LinRegSlope((Low * 3.8), 100)) AND ((High * 4.8) / (Low - Open)) < LinRegSlope((Low + Low), 200)) AND LinRegSlope(High, 14) < (Open / Low))",43.9088,9494.26,1.4531,8.1571,3.7949,204.7724,-64.2310,12.5426,3.7216,678.3768,13.9956,60,0.1373,0.3650,1.6826,1.5881,0.9379,9.3,4,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((Open * 4) / (EMA(Close, 14) - EMA(Close, 28))) < 1 AND (Open - Low) < ((Close - Min(Close, 100)) / (Max(Close, 100) - Min(Close, 100))))",47.8413,9171.73,1.4612,5.6849,2.4130,105.3583,-58.8082,7.5003,2.6142,122.4807,74.8831,30,0.2135,0.5687,2.1610,2.4357,0.9857,9.0,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((Close > (Open + (High - Close)) AND (Low / Open) < 1) AND Close crosses above Open) AND 1 > LinRegSlope((Close * 4.5), 50))",51.9676,16811.66,2.3052,7.4149,3.2232,189.3952,-64.2310,10.3027,3.7490,191.9715,87.5737,17,0.2428,0.6727,2.4889,2.9755,0.9916,10.4,4,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
"(((Close - Open) / (High - Low)) > (High / (Open + Close)) AND 0 > LinRegSlope(Open, 50))",55.9824,25370.47,3.1953,8.2479,3.2308,204.7724,-59.7082,11.1651,3.8665,194.0833,130.7195,14,0.3063,0.9558,3.2468,4.6403,0.9885,11.3,2,Long,TrailingStop { calc: Atr { multiplier: 2.0 } },RiskReward { multiplier: 2.0 },MarketExposure,WinRate,ProfitFactor,0.70
